Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.473,2.311,-1.10789,2.666,0.2795,0.2771,0.2234,0.1855,0.2539,1.138,1.111,0.0229682,3.179,4.712,0.736123
1.46,2.377,-1.07844,2.92,0.2527,0.3064,0.02563,0.1965,0.3027,1.213,1.027,0.686396,3.214,5.463,0.807407
1.552,2.164,-1.20466,2.745,0.282,0.21,0.1721,0.1929,0.21,1.221,1.058,0.570671,3.064,5.332,0.764418
1.605,2.228,-1.13314,2.834,0.2917,0.3613,0.2087,0.1294,0.2734,1.144,1.062,0.126325,3.149,4.829,0.760891
1.534,2.114,-0.998511,2.976,0.21,0.2502,0.2258,0.177,0.2039,1.254,1.112,0.925795,3.309,5.734,0.832015
1.796,2.262,-1.10705,2.888,0.2966,0.1477,0.1624,0.282,0.2039,1.172,1.03,0.154594,3.18,4.861,0.774012
1.566,2.323,-0.863886,2.711,0.2417,0.05371,0.2112,-0.02686,0.2197,1.158,0.9924,0.0830389,3.469,4.78,0.722417
1.425,2.152,-1.01702,2.781,0.2991,0.2075,0.1038,0.1147,0.2698,1.271,1.115,0.862191,3.287,5.662,0.798672
1.595,2.271,-0.986731,2.743,0.1733,0.1965,0.1685,0.05859,0.2051,1.29,1.033,0.405477,3.323,5.145,0.762728
1.628,2.211,-1.11042,2.71,0.08423,0.1892,0.2783,0.1685,0.3491,1.155,1.008,0.818905,3.176,5.613,0.790818
1.583,2.253,-1.02459,2.854,0.1489,0.1099,0.2283,0.07324,0.2173,1.135,1.112,0.762367,3.278,5.549,0.787701
1.454,2.277,-0.987573,2.866,0.3015,0.2832,0.2124,0.1562,0.2637,1.14,1.229,0.214664,3.322,4.929,0.784174
1.617,2.183,-1.06835,2.71,0.1221,0.2563,0.01587,0.1404,0.2856,1.255,1.033,0.609541,3.226,5.376,0.763289
1.482,2.344,-1.10621,2.894,0.2344,0.1782,0.2307,0.2051,0.2637,0.9558,1.086,0.416078,3.181,5.157,0.765314
1.443,2.26,-1.13818,2.705,0.2808,0.09644,0.1929,0.2197,0.2344,1.133,1.083,0.847173,3.143,5.645,0.779769
1.477,2.349,-1.26019,2.994,0.2466,0.1953,0.1794,0.09277,0.0415,1.227,1.075,0.883392,2.998,5.686,0.791731
1.527,2.206,-0.987573,2.892,0.21,0.1465,0.09521,0.1648,0.1929,1.222,1.071,0.454064,3.322,5.2,0.766158
1.599,2.296,-0.889128,2.662,0.2014,0.1941,0.2271,0.1343,0.08789,1.183,1.118,0.59894,3.439,5.364,0.784384
1.587,2.308,-0.952234,2.866,0.2625,0.1624,0.1025,0.2246,0.2991,1.218,1.158,0.0574205,3.364,4.751,0.774441
1.521,2.366,-1.0877,2.986,0.2173,0.271,0.177,0.1306,0.2844,1.243,1.006,0.326855,3.203,5.056,0.786788
1.562,2.258,-0.995145,2.654,0.1648,0.1575,0.1807,0.177,0.376,1.117,1.086,0.668728,3.313,5.443,0.783882
1.438,2.57,-1.11631,2.77,0.1282,0.09277,0.1599,0.06836,0.2795,1.345,1.056,0.583922,3.169,5.347,0.781279
1.406,2.239,-1.15249,2.939,0.3625,0.199,0.1526,0.1697,0.188,1.129,1.083,0.584806,3.126,5.348,0.77501
1.644,2.317,-1.07424,2.542,0.3284,0.1782,0.2771,0.155,0.2307,1.194,1.046,0.25265,3.219,4.972,0.757568
1.378,2.375,-1.19372,2.708,0.4041,0.2209,0.1196,0.1892,0.2246,1.141,1.069,0.916961,3.077,5.724,0.796054
1.537,2.379,-0.990097,2.772,0.2209,0.2161,0.3027,0.1611,0.2551,1.13,1.007,0.516784,3.319,5.271,0.792299
1.583,2.33,-0.995145,2.811,0.2246,0.166,0.1892,0,0.2222,1.191,1.121,0.459364,3.313,5.206,0.775185
1.527,2.103,-1.15249,2.848,0.2136,0.2051,0.1904,0.1038,0.2319,1.248,1.007,0.829505,3.126,5.625,0.779568
1.819,2.39,-1.12556,2.511,0.2722,0.1355,0.1721,0.09277,0.1062,1.125,1.03,0.584806,3.158,5.348,0.759418
1.573,2.368,-1.0145,2.869,0.1562,0.2515,0.2393,0.1013,0.249,1.184,0.9717,0.591873,3.29,5.356,0.795031
1.516,2.358,-1.14828,2.816,0.1514,0.1538,0.2332,0.1489,0.1819,1.205,1.053,0.292403,3.131,5.017,0.746777
1.63,2.267,-1.12893,2.919,0.3027,0.1392,0.1184,0.2039,0.06836,1.095,0.9729,0.295053,3.154,5.02,0.740215
1.497,2.279,-1.10537,2.947,0.282,0.1831,0.2356,0.127,0.2698,1.195,1.101,0.458481,3.182,5.205,0.789134
1.688,2.366,-0.964013,3.043,0.2515,0.1685,0.238,0.1562,0.3662,1.187,1.094,0.568905,3.35,5.33,0.846941
1.741,2.273,-1.0633,3.059,0.1575,0.2051,0.2222,0.1648,0.2576,1.251,1.016,0.614841,3.232,5.382,0.824895
1.703,2.247,-0.949709,3.052,0.2759,0.07446,0.1758,0.1221,0.2356,1.2,1.079,0.657244,3.367,5.43,0.8227
2.643,2.142,-0.868934,3.121,0.2271,0.271,0.1782,0.0708,0.2209,1.201,1.102,0.875442,3.463,5.677,0.931959
3.151,2.317,-0.958123,3.575,0.1599,0.08179,0.2661,0.1807,0.199,1.107,1.051,0.0530035,3.357,4.746,0.931948
3.923,2.207,-0.565186,4.642,0.6702,0.3186,0.4956,0.2136,0.4333,1.167,0.9119,0.427562,3.824,5.17,1.23705
4.102,2.019,0.240042,5.681,1.282,0.426,0.8521,0.3638,0.8264,1.251,1.205,0.457597,4.781,5.204,1.55883
4.435,2.086,0.183668,5.864,1.707,0.7373,0.791,0.4675,1.467,1.467,1.31,0.943463,4.714,5.754,1.78824
4.103,1.963,0.657381,5.878,1.842,0.9705,0.8752,0.5347,1.912,1.81,2.312,0.208481,5.277,4.922,1.92219
4.457,1.788,0.834918,5.916,2.103,1.232,1.025,0.5664,2.081,3.182,5.317,0.349823,5.488,5.082,2.40435
4.515,1.779,0.962812,5.953,2.219,1.401,1.147,0.4736,2.206,5.111,5.526,0.787102,5.64,5.577,2.67338
4.258,1.761,1.07893,5.916,2.175,1.602,1.058,0.5981,2.228,5.15,5.244,0.64311,5.778,5.414,2.64268
